Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-04-05T16:31:15,KAMELIA BEVERAGES,KAMELIA BEVERAGES,67,202204050667,Brand Owner,Rejected
2022-09-02T13:30:26,Everest Polymers,Everest Polymers,166,2022090206166,Brand Owner,Rejected
2022-04-22T16:40:59,Ikayu Foodslabs pvt ltd,Ikayu Foodslabs pvt ltd,300,2022042206300,Brand Owner,Rejected
2022-04-29T15:49:20,BE BETTER PERSONAL CARE PRIVATE LIMITED,BE BETTER PERSONAL CARE PRIVATE LIMITED,417,2022042906417,Brand Owner,Rejected
2022-04-28T12:37:20,SAPREM FOOD PROCESSORS PRIVATE LIMITED,SAPREM FOOD PROCESSORS PRIVATE LIMITED,390,2022042806390,Brand Owner,Rejected
2022-05-04T14:58:40,Petronas Lubricants (India) Private Limited,Petronas Lubricants (India) Private Limited,487,2022050406487,Brand Owner,Rejected
2022-05-06T15:57:05,INDORAMA INDIA PRIVATE LIMITED,INDORAMA INDIA PRIVATE LIMITED,543,2022050606543,Brand Owner,Rejected
2022-05-07T16:04:09,Windlas Biotech Limited   Plant2,Windlas Biotech Limited   Plant2,569,2022050706569,Brand Owner,Rejected
2022-05-11T15:17:46,VRS Foods Limited Unit 4,VRS Foods Limited Unit 4,632,2022051106632,Brand Owner,Rejected
2022-06-01T11:17:58,TRDP Happy World Pvt Ltd,TRDP Happy World Pvt Ltd,1018,20220601061018,Brand Owner,Rejected
2022-07-11T10:09:15,Trident Ltd,Trident Ltd,1458,20220711061458,Brand Owner,Rejected
2022-08-13T16:34:55,Groupe SEB India Private Limited,Groupe SEB India Private Limited,4395,20220813064395,Brand Owner,Rejected
2022-05-20T12:26:12,Saurashtra Cement Limited,Saurashtra Cement Limited,741,2022052006741,Brand Owner,Rejected
2022-08-29T17:13:29,FINO FOOS PRIVATE LIMITED,FINO FOOS PRIVATE LIMITED,1413,20220829061413,Brand Owner,Rejected
2022-05-24T15:56:46,Wonder Packagings,Wonder Packagings,829,2022052406829,Brand Owner,Rejected
2022-06-15T11:26:33,MAXSUN POLYSHRINK PRIVATE LIMITED,MAXSUN POLYSHRINK PRIVATE LIMITED,1420,20220615061420,Brand Owner,Rejected
2022-06-24T13:57:58,Rama Phosphates Limited,Rama Phosphates Limited,1362,20220624061362,Brand Owner,Rejected
