Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-07-24T13:11:51,AZHAR TRADERS,AZHAR TRADERS,3279,20220724083279,Importer,In Progress
2022-06-29T14:43:38,UTTAM MALANI,UTTAM MALANI,52,202206290852,Importer,In Progress
2022-03-26T07:59:43,Khushi Impex India,Khushi Impex India,16,202203260816,Importer,In Progress
2022-03-30T20:49:28,Apollo Plastics,Apollo Plastics,22,202203300822,Importer,In Progress
2022-04-13T11:12:32,ROYAL IMPEX,ROYAL IMPEX,146,2022041308146,Importer,In Progress
2022-07-29T11:29:52,abcd,abcd,23,202207290823,Importer,In Progress
2022-03-31T09:39:38,abcdefg,abcdefg,24,202203310824,Importer,In Progress
2022-04-06T11:30:47,PACKTIME INNOVATIONS PVT LTD,PACKTIME INNOVATIONS PVT LTD,74,202204060874,Importer,In Progress
2022-04-04T11:39:45,FUTURISTIC MARKETING SOLUTIONS,FUTURISTIC MARKETING SOLUTIONS,53,202204040853,Importer,In Progress
2022-06-18T10:58:37,ICTC INTERNATIONAL TRADING CONSULTANTS LTD,ICTC INTERNATIONAL TRADING CONSULTANTS LTD,1754,20220618081754,Importer,In Progress
2022-04-09T18:17:35,SHRI KRISHNA PAPERS,SHRI KRISHNA PAPERS,106,2022040908106,Importer,In Progress
2022-04-20T19:07:56,R S Enterprises,R S Enterprises,261,2022042008261,Importer,In Progress
2022-04-12T11:29:56,DIVYA IMPEX,DIVYA IMPEX,126,2022041208126,Importer,In Progress
2022-04-12T12:50:16,Swati Polypack,Swati Polypack,127,2022041208127,Importer,In Progress
2022-04-12T13:19:40,DO BEST INFOWAY,DO BEST INFOWAY,130,2022041208130,Importer,In Progress
2022-06-22T10:52:53,Tijamat,Tijamat,132,2022062208132,Importer,In Progress
2022-04-12T18:22:50,SBBE ENTERPRISES PVT LTD,SBBE ENTERPRISES PVT LTD,140,2022041208140,Importer,In Progress
2022-07-05T16:36:02,KAPCO EXPORTS,KAPCO EXPORTS,2384,20220705082384,Importer,In Progress
2022-04-12T23:14:35,SHREE SHYAM EXIM,SHREE SHYAM EXIM,143,2022041208143,Importer,In Progress
2022-07-13T19:57:16,Balaji Chemicals,Balaji Chemicals,2742,20220713082742,Importer,In Progress
2022-04-15T15:29:54,ASIA ENTERPRISES,ASIA ENTERPRISES,180,2022041508180,Importer,In Progress
2022-04-19T20:58:53,KALASH INTERNATIONAL,KALASH INTERNATIONAL,244,2022041908244,Importer,In Progress
2022-04-18T16:53:29,Akums Drugs and Pharmaceuticals Limited,Akums Drugs and Pharmaceuticals Limited,212,2022041808212,Importer,In Progress
2022-04-19T17:23:08,Akums drugs and pharmaceuticals ltd,Akums drugs and pharmaceuticals ltd,234,2022041908234,Importer,In Progress
2022-04-20T15:27:27,RADHA KRISHNA IMPEX PVT LTD,RADHA KRISHNA IMPEX PVT LTD,253,2022042008253,Importer,In Progress
2022-04-19T19:04:53,SHABANA TRADING,SHABANA TRADING,240,2022041908240,Importer,In Progress
