Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-03-24T10:54:53,AMARTARA PVT LTD,AMARTARA PVT LTD,8,20220324088,Importer,Rejected
2022-03-24T14:39:28,TION ENTERPRISES PVT LTD,TION ENTERPRISES PVT LTD,11,202203240811,Importer,Rejected
2022-04-07T18:42:30,Shree Ram International,Shree Ram International,90,202204070890,Importer,Rejected
2022-04-19T16:33:15,PRATHAM INERNATIONAL,PRATHAM INERNATIONAL,233,2022041908233,Importer,Rejected
2022-04-01T15:51:58,N K EXIM,N K EXIM,43,202204010843,Importer,Rejected
2022-04-21T14:51:40,JDM PAPERS,JDM PAPERS,270,2022042108270,Importer,Rejected
2022-04-16T17:58:57,SHREE BALAJI INTERNATIONAL,SHREE BALAJI INTERNATIONAL,189,2022041608189,Importer,Rejected
2022-04-19T12:37:05,HARSHIV ENTERPRISES,HARSHIV ENTERPRISES,222,2022041908222,Importer,Rejected
2022-04-17T11:13:58,TAC OVERSEAS,TAC OVERSEAS,191,2022041708191,Importer,Rejected
2022-04-19T15:22:25,R P TRADERS,R P TRADERS,230,2022041908230,Importer,Rejected
2022-04-20T10:43:06,SHREE HARI TRADING CO,SHREE HARI TRADING CO,245,2022042008245,Importer,Rejected
2022-04-25T16:00:43,ANKUR PAPER MART,ANKUR PAPER MART,342,2022042508342,Importer,Rejected
2022-04-14T11:42:35,NITIN BOARD COMPANY,NITIN BOARD COMPANY,163,2022041408163,Importer,Rejected
2022-04-07T12:20:03,ABN GLOBAL EXIM,ABN GLOBAL EXIM,81,202204070881,Importer,Rejected
2022-04-07T16:25:28,New Age Traders,New Age Traders,86,202204070886,Importer,Rejected
2022-04-12T13:14:49,PRAGNYA INTERNATIONAL,PRAGNYA INTERNATIONAL,129,2022041208129,Importer,Rejected
2022-06-02T17:48:56,ARYA INTERNATIONAL,ARYA INTERNATIONAL,1279,20220602081279,Importer,Rejected
2022-04-17T12:30:37,Abro International,Abro International,192,2022041708192,Importer,Rejected
2022-04-11T18:43:35,Fotedar Engineering Services,Fotedar Engineering Services,119,2022041108119,Importer,Rejected
2022-04-11T22:27:52,Sachin Chemical Agency,Sachin Chemical Agency,121,2022041108121,Importer,Rejected
2022-04-12T16:33:39,UNITED TRADING COMPANY,UNITED TRADING COMPANY,136,2022041208136,Importer,Rejected
2022-04-12T19:48:17,SBBE ENTERPRISES PVT LTD,SBBE ENTERPRISES PVT LTD,141,2022041208141,Importer,Rejected
2022-04-13T12:46:40,ROYAL IMPEX,ROYAL IMPEX,150,2022041308150,Importer,Rejected
2022-04-13T14:00:03,DIVYA IMPEX,DIVYA IMPEX,151,2022041308151,Importer,Rejected
2022-04-15T17:11:27,STELLAR INDIA,STELLAR INDIA,185,2022041508185,Importer,Rejected
2022-04-13T22:21:53,ROYAL POLY INDIA,ROYAL POLY INDIA,156,2022041308156,Importer,Rejected
2022-04-15T12:39:06,Nitin Jain,Nitin Jain,176,2022041508176,Importer,Rejected
2022-04-14T17:47:32,Tree Universe,Tree Universe,165,2022041408165,Importer,Rejected
2022-04-15T14:25:36,SHRI HARI IMPEX,SHRI HARI IMPEX,179,2022041508179,Importer,Rejected
2022-04-17T16:48:56,S A ENTERPRISE,S A ENTERPRISE,194,2022041708194,Importer,Rejected
2022-04-16T17:33:57,A K TRADELINK,A K TRADELINK,188,2022041608188,Importer,Rejected
2022-04-17T12:58:58,R Mithanlal Overseas,R Mithanlal Overseas,193,2022041708193,Importer,Rejected
2022-04-21T13:10:29,MS POLYFILM,MS POLYFILM,267,2022042108267,Importer,Rejected
2022-04-19T13:28:49,BANSAL TRADING CO,BANSAL TRADING CO,226,2022041908226,Importer,Rejected
2022-04-18T16:22:47,NV OVERSEAS,NV OVERSEAS,208,2022041808208,Importer,Rejected
2022-04-18T17:56:00,NEW SAMAIRA GLOBAL,NEW SAMAIRA GLOBAL,214,2022041808214,Importer,Rejected
2022-04-18T15:12:20,SAI PAPERS,SAI PAPERS,205,2022041808205,Importer,Rejected
2022-04-18T19:52:35,ISHITA OVERSEAS,ISHITA OVERSEAS,216,2022041808216,Importer,Rejected
2022-04-19T13:20:39,KASHVI IMPEX,KASHVI IMPEX,224,2022041908224,Importer,Rejected
2022-04-19T17:48:21,AK ENTERPRISES,AK ENTERPRISES,236,2022041908236,Importer,Rejected
2022-04-19T15:54:59,LAXMI PLYWOOD CO,LAXMI PLYWOOD CO,231,2022041908231,Importer,Rejected
2022-04-19T18:31:07,SILVER STONE INDUSTRIES,SILVER STONE INDUSTRIES,238,2022041908238,Importer,Rejected
2022-04-19T18:26:40,A B IMPEX,A B IMPEX,237,2022041908237,Importer,Rejected
2022-04-21T12:36:19,NAVKAR IMPEX,NAVKAR IMPEX,264,2022042108264,Importer,Rejected
2022-04-21T13:23:03,TAPO DHANI INTERNATIONAL,TAPO DHANI INTERNATIONAL,268,2022042108268,Importer,Rejected
2022-04-21T15:08:18,SHREE CHANDA INTERNATIONAL,SHREE CHANDA INTERNATIONAL,272,2022042108272,Importer,Rejected
2022-06-07T09:58:01,SULOCHNA RETAIL MART PRIVATE LIMITED,SULOCHNA RETAIL MART PRIVATE LIMITED,269,2022060708269,Importer,Rejected
2022-04-23T13:37:11,SH ENTERPRISES,SH ENTERPRISES,319,2022042308319,Importer,Rejected
2022-04-21T18:40:13,GAURANGAIMPORTS,GAURANGAIMPORTS,281,2022042108281,Importer,Rejected
2022-04-22T11:57:37,ADITYA HARSH TRADING COMPANY,ADITYA HARSH TRADING COMPANY,288,2022042208288,Importer,Rejected
2022-04-22T13:15:03,VEER VARDHMAN TEXTILE MILLS LIMITED,VEER VARDHMAN TEXTILE MILLS LIMITED,290,2022042208290,Importer,Rejected
2022-04-22T16:49:13,RMM FOOD PRODUCTS,RMM FOOD PRODUCTS,301,2022042208301,Importer,Rejected
2022-08-03T13:49:15,CHETANYA EXPORTS CO,CHETANYA EXPORTS CO,3893,20220803083893,Importer,Rejected
2022-04-23T21:48:19,KALASH INTERNATIONAL,KALASH INTERNATIONAL,327,2022042308327,Importer,Rejected
2022-04-25T10:56:51,Himaliyaa Traders,Himaliyaa Traders,329,2022042508329,Importer,Rejected
2022-04-25T14:27:33,ROYAL SILK SPLENDOUR PVT LTD,ROYAL SILK SPLENDOUR PVT LTD,334,2022042508334,Importer,Rejected
2022-04-26T13:37:05,TONY SALES CORPORATION,TONY SALES CORPORATION,356,2022042608356,Importer,Rejected
2022-04-25T17:59:23,PLUS POINTS,PLUS POINTS,344,2022042508344,Importer,Rejected
2022-05-02T13:17:29,Zalani paper mart,Zalani paper mart,440,2022050208440,Importer,Rejected
2022-04-26T16:22:13,J D INDUSTRIES,J D INDUSTRIES,363,2022042608363,Importer,Rejected
2022-04-29T10:05:42,VEDICARE AYURVEDA PRIVATE LIMITED,VEDICARE AYURVEDA PRIVATE LIMITED,406,2022042908406,Importer,Rejected
2022-04-28T09:33:31,A V ENTERPRISES,A V ENTERPRISES,380,2022042808380,Importer,Rejected
2022-04-28T16:00:16,H P PACKAGING,H P PACKAGING,395,2022042808395,Importer,Rejected
2022-04-29T14:38:10,BANSAL POLYPLAST PRIVATE LIMITED,BANSAL POLYPLAST PRIVATE LIMITED,414,2022042908414,Importer,Rejected
2022-04-29T17:24:47,PERFECT PRODUCTS,PERFECT PRODUCTS,421,2022042908421,Importer,Rejected
2022-04-29T18:59:41,YASHVI TRADING,YASHVI TRADING,425,2022042908425,Importer,Rejected
2022-04-29T19:21:35,GA IMPEX,GA IMPEX,426,2022042908426,Importer,Rejected
2022-05-02T19:10:21,A B CORPORATION,A B CORPORATION,456,2022050208456,Importer,Rejected
2022-05-03T12:44:09,GLOBAL ENTERPRISES,GLOBAL ENTERPRISES,465,2022050308465,Importer,Rejected
2022-05-03T17:37:09,POLYFILMS ENTERPRISES,POLYFILMS ENTERPRISES,478,2022050308478,Importer,Rejected
2022-05-04T15:45:05,NEW SHRIYANSH ENTERPRISES,NEW SHRIYANSH ENTERPRISES,492,2022050408492,Importer,Rejected
2022-05-05T12:41:51,ABAD OVERSEAS PVT LTD,ABAD OVERSEAS PVT LTD,506,2022050508506,Importer,Rejected
2022-05-05T16:49:24,OSJS PRIVATE LIMITED,OSJS PRIVATE LIMITED,519,2022050508519,Importer,Rejected
2022-05-05T18:45:53,GLOBAL ENTERPRISE,GLOBAL ENTERPRISE,522,2022050508522,Importer,Rejected
2022-05-06T16:44:19,DEEPAK TRADERS,DEEPAK TRADERS,547,2022050608547,Importer,Rejected
2022-05-07T14:17:44,CHEMSIL INTERNATIONAL,CHEMSIL INTERNATIONAL,562,2022050708562,Importer,Rejected
2022-05-07T15:48:12,SUBHLAXMI INDUSTRIES,SUBHLAXMI INDUSTRIES,565,2022050708565,Importer,Rejected
2022-05-09T18:58:26,ALFA INSTRUMENTS,ALFA INSTRUMENTS,592,2022050908592,Importer,Rejected
2022-05-16T12:42:54,GTFC PRIVATE LIMITED,GTFC PRIVATE LIMITED,714,2022051608714,Importer,Rejected
2022-06-01T13:13:48,Syngene International Limited,Syngene International Limited,1179,20220601081179,Importer,Rejected
2022-05-11T10:28:55,A V ENTERPRISES,A V ENTERPRISES,615,2022051108615,Importer,Rejected
2022-05-11T14:10:46,K D OVERSEAS,K D OVERSEAS,629,2022051108629,Importer,Rejected
2022-05-11T16:28:56,Unique Poly Films Enterprise,Unique Poly Films Enterprise,643,2022051108643,Importer,Rejected
2022-05-12T19:06:20,Guru Kirpa International,Guru Kirpa International,668,2022051208668,Importer,Rejected
2022-05-11T22:56:45,OM BALAJI IMPEX,OM BALAJI IMPEX,647,2022051108647,Importer,Rejected
2022-05-12T17:44:44,HEENA TRADERS,HEENA TRADERS,666,2022051208666,Importer,Rejected
2022-06-08T15:43:22,KIRBY BUILDINGS SYSTEMS AND STRUCTURES INDIA PRIVATE LIMITED,KIRBY BUILDINGS SYSTEMS AND STRUCTURES INDIA PRIVATE LIMITED,1159,20220608081159,Importer,Rejected
2022-05-21T17:49:33,SENSETEK OPTICAL PRIVATE LIMITED,SENSETEK OPTICAL PRIVATE LIMITED,772,2022052108772,Importer,Rejected
2022-05-27T18:33:31,JOIN PACK MACHINES PRIVATE LIMITED,JOIN PACK MACHINES PRIVATE LIMITED,1036,20220527081036,Importer,Rejected
2022-05-23T14:21:31,SITREN LLP,SITREN LLP,783,2022052308783,Importer,Rejected
2022-05-25T13:02:58,Synokem Pharmaceuticals Limited,Synokem Pharmaceuticals Limited,929,2022052508929,Importer,Rejected
2022-06-23T15:37:49,YUTO PRINTING AND PACKAGING INDIA PVT LTD,YUTO PRINTING AND PACKAGING INDIA PVT LTD,1915,20220623081915,Importer,Rejected
2022-05-26T15:53:40,ABC Fruits,ABC Fruits,984,2022052608984,Importer,Rejected
2022-05-28T12:24:57,KALIWALA PLASTIC,KALIWALA PLASTIC,1043,20220528081043,Importer,Rejected
2022-05-30T17:33:57,BHAAGYA IMPEX,BHAAGYA IMPEX,1102,20220530081102,Importer,Rejected
2022-06-01T14:46:10,BALOCHISTAN TRADING CO.,BALOCHISTAN TRADING CO.,1198,20220601081198,Importer,Rejected
2022-06-09T12:21:00,Lotte Chemical India Private Limited,Lotte Chemical India Private Limited,1251,20220609081251,Importer,Rejected
2022-06-08T15:28:29,FLOWERBELL ONLINE SERVICES,FLOWERBELL ONLINE SERVICES,1277,20220608081277,Importer,Rejected
2022-06-03T12:59:37,DEVI SEA FOODS LIMITED,DEVI SEA FOODS LIMITED,1276,20220603081276,Importer,Rejected
2022-06-03T13:13:07,PARTH INTERNATIONAL,PARTH INTERNATIONAL,1303,20220603081303,Importer,Rejected
2022-08-18T18:17:59,ANUP ENTERPRISE,ANUP ENTERPRISE,4581,20220818084581,Importer,Rejected
2022-07-12T16:49:30,NISHA GUPTA,NISHA GUPTA,2674,20220712082674,Importer,Rejected
2022-06-08T23:09:28,R.G. MARKETING,R.G. MARKETING,1490,20220608081490,Importer,Rejected
2022-06-09T11:44:40,VIVA COSMETICS,VIVA COSMETICS,1496,20220609081496,Importer,Rejected
2022-06-14T13:53:07,SHREE SHYAM PRINT N PACK,SHREE SHYAM PRINT N PACK,1512,20220614081512,Importer,Rejected
2022-06-11T12:17:34,SHINDENGEN INDIA PRIVATE LIMITED,SHINDENGEN INDIA PRIVATE LIMITED,1561,20220611081561,Importer,Rejected
