Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-03-23T17:43:46,Srishti,Srishti,3,20220323073,Producer,In Progress
2022-04-05T17:54:35,KABRA INDUSTRIES,KABRA INDUSTRIES,72,202204050772,Producer,In Progress
2022-07-21T10:37:15,CREATIVE POLYPACK PRIVATE LIMITED,CREATIVE POLYPACK PRIVATE LIMITED,3058,20220721073058,Producer,In Progress
2022-03-31T16:26:43,PARDHAN ENTERPRISES,PARDHAN ENTERPRISES,36,202203310736,Producer,In Progress
2022-04-01T16:33:47,PB Plastics,PB Plastics,44,202204010744,Producer,In Progress
2022-04-02T11:17:08,PIYUSH SAJWAN,PIYUSH SAJWAN,47,202204020747,Producer,In Progress
2022-08-19T12:24:25,Manjushree Technopack Ltd,Manjushree Technopack Ltd,650,2022081907650,Producer,In Progress
2022-04-14T11:41:03,PN ENTERPRISES,PN ENTERPRISES,161,2022041407161,Producer,In Progress
2022-04-13T11:28:38,R K INDUSTRY,R K INDUSTRY,147,2022041307147,Producer,In Progress
2022-04-20T11:53:32,Naini Papers Limited,Naini Papers Limited,246,2022042007246,Producer,In Progress
2022-06-15T11:13:58,IDMC LIMITED,IDMC LIMITED,248,2022061507248,Producer,In Progress
2022-07-30T15:40:10,BLOW PACKAGING INDIA PRIVATE LIMITED,BLOW PACKAGING INDIA PRIVATE LIMITED,3669,20220730073669,Producer,In Progress
2022-07-01T12:29:24,AJIT INDUSTRIES PRIVATE LIMITED,AJIT INDUSTRIES PRIVATE LIMITED,1563,20220701071563,Producer,In Progress
2022-05-10T16:05:27,PACK MASTERS,PACK MASTERS,608,2022051007608,Producer,In Progress
2022-04-19T19:09:22,SREE BHAGWATI PLASTIC INDUSTRIES,SREE BHAGWATI PLASTIC INDUSTRIES,241,2022041907241,Producer,In Progress
2022-07-29T13:23:06,EHSS,EHSS,367,2022072907367,Producer,In Progress
2022-04-29T17:12:31,SHREE GANESH CONTAINERS,SHREE GANESH CONTAINERS,420,2022042907420,Producer,In Progress
2022-07-05T16:27:35,C K PLASTICS PVT LTD,C K PLASTICS PVT LTD,1088,20220705071088,Producer,In Progress
2022-04-30T12:21:47,RAJMUDRA THERMOPLASTICS,RAJMUDRA THERMOPLASTICS,429,2022043007429,Producer,In Progress
2022-04-29T17:56:27,ESSEL KITCHENWARE LIMITED,ESSEL KITCHENWARE LIMITED,424,2022042907424,Producer,In Progress
2022-05-26T11:34:47,Pentagon Plastics Pvt Ltd,Pentagon Plastics Pvt Ltd,939,2022052607939,Producer,In Progress
2022-05-02T12:28:35,Cleanex India Private limited,Cleanex India Private limited,439,2022050207439,Producer,In Progress
2022-08-28T11:59:57,SUN FOAMS,SUN FOAMS,648,2022082807648,Producer,In Progress
2022-08-10T14:25:05,NIPPON PAPER FOODPAC PVT LTD,NIPPON PAPER FOODPAC PVT LTD,3965,20220810073965,Producer,In Progress
2022-05-07T17:10:09,ULTIMATE FLEXIPACK LTD,ULTIMATE FLEXIPACK LTD,574,2022050707574,Producer,In Progress
2022-05-14T11:09:38,shrinath roto pack pvt ltd,shrinath roto pack pvt ltd,690,2022051407690,Producer,In Progress
2022-05-12T13:54:51,DRY BLENDS FOODS PRIVATE LIMITED,DRY BLENDS FOODS PRIVATE LIMITED,655,2022051207655,Producer,In Progress
2022-05-12T16:49:02,kridhna pvt ltd,kridhna pvt ltd,662,2022051207662,Producer,In Progress
2022-08-12T15:24:00,ALPLA INDIA PRIVATE LIMITED,ALPLA INDIA PRIVATE LIMITED,676,2022081207676,Producer,In Progress
2022-05-26T17:10:33,GROW MAX INDIA PRIVATE LIMITED,GROW MAX INDIA PRIVATE LIMITED,995,2022052607995,Producer,In Progress
2022-06-02T12:55:44,MIREK THERMOFORMERS PRIVATE LIMITED,MIREK THERMOFORMERS PRIVATE LIMITED,762,2022060207762,Producer,In Progress
2022-07-25T11:57:10,EPL Limited,EPL Limited,1648,20220725071648,Producer,In Progress
2022-05-21T11:56:14,MTL NEW INITIATIVES PRIVATE LIMITED,MTL NEW INITIATIVES PRIVATE LIMITED,763,2022052107763,Producer,In Progress
2022-06-30T17:35:18,ITC LIMITED,ITC LIMITED,1188,20220630071188,Producer,In Progress
2022-05-26T17:18:57,ABC Waste Management,ABC Waste Management,997,2022052607997,Producer,In Progress
2022-05-29T14:52:36,LAXMI SALES CRPORATION,LAXMI SALES CRPORATION,1008,20220529071008,Producer,In Progress
2022-06-11T14:19:34,SHREE KRISHNA INDUSTRIES,SHREE KRISHNA INDUSTRIES,1133,20220611071133,Producer,In Progress
2022-08-05T15:21:42,GLOBALL PLAST,GLOBALL PLAST,1265,20220805071265,Producer,In Progress
2022-06-03T15:41:39,SHRINATH ROTOPACK PVT LTD,SHRINATH ROTOPACK PVT LTD,1317,20220603071317,Producer,In Progress
2022-06-07T14:19:07,XIANGRUI INDUSTRY PRIVATE LIMITED,XIANGRUI INDUSTRY PRIVATE LIMITED,1418,20220607071418,Producer,In Progress
2022-06-07T11:06:39,JK Agro Products,JK Agro Products,1425,20220607071425,Producer,In Progress
2022-06-08T16:57:47,PARI PACKAGING INDUSTRIES,PARI PACKAGING INDUSTRIES,1480,20220608071480,Producer,In Progress
2022-06-21T13:29:57,Shalimar Thermoforming Pvt Ltd,Shalimar Thermoforming Pvt Ltd,1485,20220621071485,Producer,In Progress
