Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-04-04T13:35:10,PROGRESSIVE PACKAGING SOLUTIONS,PROGRESSIVE PACKAGING SOLUTIONS,56,202204040756,Producer,Rejected
2022-07-19T16:51:59,Foxconn Hon Hai Technology India Mega Development Pvt Ltd,Foxconn Hon Hai Technology India Mega Development Pvt Ltd,845,2022071907845,Producer,Rejected
2022-04-17T13:46:13,PREMIER POLYPACKS,PREMIER POLYPACKS,5963,20220417075963,Producer,Rejected
2022-07-20T12:40:13,UFLEX LIMITED,UFLEX LIMITED,3095,20220720073095,Producer,Rejected
2022-04-27T12:06:59,HITECH CORPORATION LTD,HITECH CORPORATION LTD,374,2022042707374,Producer,Rejected
2022-04-23T12:17:32,Huhtamaki Foodservice Packaging India Private Limited,Huhtamaki Foodservice Packaging India Private Limited,315,2022042307315,Producer,Rejected
2022-04-26T13:30:43,Wrigley India Pvt Ltd,Wrigley India Pvt Ltd,354,2022042607354,Producer,Rejected
2022-05-02T18:28:42,PARAS POLYMERS,PARAS POLYMERS,454,2022050207454,Producer,Rejected
2022-05-25T09:53:18,Compack Extrusions Pvt Ltd,Compack Extrusions Pvt Ltd,598,2022052507598,Producer,Rejected
2022-05-10T16:15:31,UNITECH INTERNATIONAL LIMITED,UNITECH INTERNATIONAL LIMITED,610,2022051007610,Producer,Rejected
2022-06-28T11:52:21,JAYESH TRADEX PRIVATE LIMITED,JAYESH TRADEX PRIVATE LIMITED,1386,20220628071386,Producer,Rejected
2022-05-12T21:12:45,Blue Star Drum Suppliers,Blue Star Drum Suppliers,671,2022051207671,Producer,Rejected
2022-05-28T14:34:21,SHRINATH ROTOPACK PVT LTD,SHRINATH ROTOPACK PVT LTD,691,2022052807691,Producer,Rejected
2022-05-15T17:44:10,GROW MAX INDIA PRIVATE LIMITED,GROW MAX INDIA PRIVATE LIMITED,6096,20220515076096,Producer,Rejected
2022-06-23T17:00:37,Wrigley India Private Limited,Wrigley India Private Limited,711,2022062307711,Producer,Rejected
2022-08-03T14:30:42,OSWAL EXTRUSION LIMITED,OSWAL EXTRUSION LIMITED,3789,20220803073789,Producer,Rejected
2022-05-26T10:27:23,HOLITECH INDIA PRIVATE LIMITED,HOLITECH INDIA PRIVATE LIMITED,770,2022052607770,Producer,Rejected
2022-05-23T13:43:55,JK AGRO PRODUCTS,JK AGRO PRODUCTS,781,2022052307781,Producer,Rejected
2022-05-25T14:53:10,HOLITECH INDIA PRIVATE LIMITED,HOLITECH INDIA PRIVATE LIMITED,786,2022052507786,Producer,Rejected
2022-06-15T18:42:44,SSF TECHNOPLAST ( A UNIT OF SSF PLASTICS PVT LTD),SSF TECHNOPLAST ( A UNIT OF SSF PLASTICS PVT LTD),784,2022061507784,Producer,Rejected
2022-05-26T10:55:39,HOLITECH INDIA PRIVATE LIMITED,HOLITECH INDIA PRIVATE LIMITED,789,2022052607789,Producer,Rejected
2022-05-26T10:39:00,ANJALI PACKAGING,ANJALI PACKAGING,959,2022052607959,Producer,Rejected
2022-06-29T14:37:31,NARENDRA PLASTIC PRIVATE LIMITED,NARENDRA PLASTIC PRIVATE LIMITED,1426,20220629071426,Producer,Rejected
2022-07-12T14:47:51,Capital Plastics,Capital Plastics,1383,20220712071383,Producer,Rejected
2022-06-07T15:37:22,SHRINATH ROTOPACK PVT LTD,SHRINATH ROTOPACK PVT LTD,1435,20220607071435,Producer,Rejected
2022-08-13T16:17:51,Geltec Private Limited,Geltec Private Limited,4527,20220813074527,Producer,Rejected
2022-06-09T16:35:24,MAYURI KUMKUM LIMITED,MAYURI KUMKUM LIMITED,1510,20220609071510,Producer,Rejected
2022-06-10T15:29:45,Pravin Plastic & Chemicals Industries,Pravin Plastic & Chemicals Industries,1542,20220610071542,Producer,Rejected
2022-06-14T16:02:57,KTS POLYMERS,KTS POLYMERS,1642,20220614071642,Producer,Rejected
2022-06-14T15:19:03,NEXGEN LAMINATORS PRIVATE LIMITED,NEXGEN LAMINATORS PRIVATE LIMITED,6225,20220614076225,Producer,Rejected
2022-09-01T15:49:30,ESSEL KITCHENWARE LIMITED,ESSEL KITCHENWARE LIMITED,4636,20220901074636,Producer,Rejected
2022-06-16T10:37:04,KRISHNA POLYMERS,KRISHNA POLYMERS,1700,20220616071700,Producer,Rejected
2022-06-18T12:21:36,Beena Fabrication Industries,Beena Fabrication Industries,1757,20220618071757,Producer,Rejected
2022-06-22T10:40:14,FLEMINGO AGRO FOOD INDIA PVT LTD,FLEMINGO AGRO FOOD INDIA PVT LTD,1845,20220622071845,Producer,Rejected
2022-07-26T14:43:11,Durga Polytherm Pvt Ltd,Durga Polytherm Pvt Ltd,3374,20220726073374,Producer,Rejected
2022-07-13T13:34:15,BETTS NDIA PRIVATE LIMITED,BETTS NDIA PRIVATE LIMITED,2710,20220713072710,Producer,Rejected
2022-07-30T18:25:33,AT India Auto Parts Private Limited,AT India Auto Parts Private Limited,3681,20220730073681,Producer,Rejected
